Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
PICO,"Pico Holdings Inc",9.01,0.1,+1.12%,8.9,9.07,8.79,23500,12/24/20
PINE,"Alpine Income Property Trust Inc",14.43,0.25,+1.76%,14.05,14.46,14.05,15200,12/24/20
PING,"Ping Identity Holding Corp",28.99,-0.13,-0.45%,29.43,29.48,28.75,279300,12/24/20
PIPR,"Piper Jaffray Companies",100,-3.18,-3.08%,102.93,102.93,99.8,63900,12/24/20
PIRS,"Pieris Pharma",2.74,-0.03,-1.08%,2.76,2.79,2.7,154800,12/24/20
PJT,"Pjt Partners Inc Cl A",77.72,-0.22,-0.28%,78.58,78.58,77.06,105100,12/24/20
PKBK,"Parke Bancorp Inc",15.43,-0.28,-1.78%,15.82,15.84,15.34,10800,12/24/20
PKE,"Park Electrochemical Corp",13.22,-0.07,-0.53%,13.36,13.36,13.13,25000,12/24/20
PKOH,"Park Ohio Hld Cp",30.15,-0.41,-1.34%,30.46,31.2,29.16,10600,12/24/20
PLAB,"Photronics Inc",11.03,0.31,+2.89%,10.81,11.07,10.76,366100,12/24/20
PLAY,"Dave & Buster's Ente",29.58,0.44,+1.51%,29.35,29.86,29.24,878100,12/24/20
PLBC,"Plumas Bancorp",23.14,-0.36,-1.53%,23.38,23.51,23,2500,12/24/20
PLCE,"Children's Place Inc",49.72,-1.43,-2.80%,50.83,52.17,49.5,892500,12/24/20
PLMR,"Palomar Holdings Inc",91.16,-0.47,-0.51%,91.64,92.55,89.35,103200,12/24/20
PLOW,"Douglas Dynamics",42.31,0.45,+1.08%,41.97,42.56,41.76,23800,12/24/20
PLPC,"Preformed Line Prd",65.74,-0.06,-0.09%,66.01,66.99,65.71,3600,12/24/20
PLRX,"Pliant Therapeutics Inc",25.41,-0.23,-0.90%,25.73,26.1,25.38,11300,12/24/20
PLSE,"Pulse Biosciences CS",21.14,-0.02,-0.09%,21.13,21.83,21.01,15600,12/24/20
PLT,Plantronics,25.58,0.07,+0.27%,25.84,26.25,25.11,192000,12/24/20
PLUG,"Plug Power Inc",35.58,-0.56,-1.55%,35.71,36.67,34.75,19919199,12/24/20
PLUS,"Eplus Inc",86.36,-1.62,-1.84%,88.31,88.31,86.11,15900,12/24/20
PLXS,"Plexus Cp",77.94,0.21,+0.27%,77.89,78.77,77.45,45300,12/24/20
PLYM,"Plymouth Industrial REIT Inc",14.84,0.17,+1.16%,14.61,14.84,14.32,104100,12/24/20
PMT,"Pennymac Mortgage Investment Trust",18.01,-0.16,-0.88%,18.29,18.35,17.92,378700,12/24/20
PNM,"PNM Resources Inc",48.65,-0.03,-0.06%,48.72,48.74,48.55,346900,12/24/20
PNRG,"Primeenergy Cp",45.45,-2.4,-5.02%,45.45,45.45,45.45,300,12/24/20
PNTG,"The Pennant Group Inc",61,0.97,+1.62%,60.03,61.56,59.32,43200,12/24/20
POR,"Portland General Electric Company",41.45,-0.22,-0.53%,41.42,41.6,40.71,201100,12/24/20
POWI,"Power Integratn",79.54,-0.02,-0.03%,80.24,80.24,78.63,66500,12/24/20
POWL,"Powell Inds Inc",30.57,0.22,+0.72%,30.27,30.94,30.04,45800,12/24/20
PPBI,"Pacific Premier Bncp",30.92,-0.09,-0.29%,31.19,31.34,30.55,133900,12/24/20
PQG,"Pq Group Holdings Inc",13.98,0.1,+0.72%,14.01,14.07,13.82,62700,12/24/20
PRA,"Pro-Assurance Corp",18.44,0.76,+4.30%,17.91,18.45,17.59,182200,12/24/20
PRAA,"Pra Group Inc",38.79,0.08,+0.21%,38.71,38.93,38.24,57200,12/24/20
PRDO,"Perdoceo Education Corp",13.1,0.11,+0.85%,13,13.33,12.95,181400,12/24/20
PRFT,"Perficient Inc",48.1,0,0.00%,48.27,48.46,47.88,109300,12/24/20
PRGS,"Progress Software",44.2,0.31,+0.71%,44.18,44.62,43.77,65900,12/24/20
PRIM,"Primoris Services Cp",27.76,0.14,+0.51%,27.85,27.85,27.36,70500,12/24/20
PRK,"Park National Corp",103.19,-0.26,-0.25%,102.27,103.45,102.03,12000,12/24/20
PRLB,"Proto Labs Inc",172.55,-15.82,-8.40%,188.95,189.13,171.51,302600,12/24/20
PRMW,"Primo Water Corp",16,0.18,+1.14%,15.79,16.02,15.75,606800,12/24/20
PRO,"Pros Holdings",49.95,0.44,+0.89%,49.77,50.06,48.69,80300,12/24/20
PROG,"Progenity Inc",6,-0.74,-10.98%,6.66,6.75,5.8,807800,12/24/20
PROS,"Prosight Global Inc",12.75,0,0.00%,12.75,12.79,12.75,3600,12/24/20
PROV,"Provident Financial",15.75,-0.24,-1.50%,15.99,16.25,15.75,7500,12/24/20
PRPL,"Purple Innovation Inc",34.02,3.16,+10.24%,30.84,35,30.72,1945400,12/24/20
PRSC,"Providence Svc Cp",137.47,-1.45,-1.04%,139.05,139.05,136.58,33400,12/24/20
PRSP,"Perspecta Inc",24.04,0.19,+0.80%,23.92,24.12,23.66,192600,12/24/20
PRTA,"Prothena Corp",13.24,-0.01,-0.08%,13.7,13.7,13.18,122600,12/24/20
PRTH,"Priority Techno Holdings Inc",6.36,0,0.00%,6.37,6.38,6.11,27000,12/24/20
PRTK,"Paratek Pharma Inc",6.62,0.06,+0.91%,6.56,6.68,6.5,112400,12/24/20
PRTS,"U.S. Auto Parts Netw",13.17,0.95,+7.77%,12.34,13.42,12.33,2441800,12/24/20
PRVB,"Provention Bio Inc",17.79,0.12,+0.68%,17.85,18.13,17.7,106800,12/24/20
PRVL,"Prevail Therapeutics Inc",23.08,-0.1,-0.43%,23.13,23.2,23.07,50800,12/24/20
PSB,"Business Parks",131.89,1.66,+1.27%,130.97,132.31,129.81,23900,12/24/20
PSMT,"Pricesmart Inc",89.91,0.01,+0.01%,90.09,90.85,89,29300,12/24/20
PSN,"Parsons Corp",35.24,0.44,+1.26%,35.02,35.27,34.58,141900,12/24/20
PSNL,"Personalis Inc",41.49,-1.2,-2.81%,42.55,45.79,41.3,575500,12/24/20
PSTX,"Poseida Therapeutics Inc",9.26,0.13,+1.42%,9.05,9.46,9.05,36600,12/24/20
PTCT,"Ptc Therapeutics",65.05,-0.49,-0.75%,66.4,66.51,64.89,78500,12/24/20
PTEN,"Patterson-Uti Energy",5.3,-0.12,-2.21%,5.49,5.54,5.25,923900,12/24/20
PTGX,"Protagonist Therapeutics Inc",23.75,-0.15,-0.63%,23.89,24.53,23.36,141000,12/24/20
PTRS,"Partners Bancorp",6.55,-0.05,-0.76%,6.5,6.59,6.5,2600,12/24/20
PTSI,"P A M Transport Sv",44.21,0.56,+1.28%,44.21,44.21,44.21,300,12/24/20
PTVCB,"Protective Insurance Corp Cl B",13.68,-0.03,-0.22%,13.65,13.72,13.63,3900,12/24/20
PUMP,"Propetro Holding Corp",7.55,-0.12,-1.56%,7.75,7.75,7.4,347200,12/24/20
PVAC,"Penn VA Corp",10.68,-0.47,-4.22%,11.28,11.35,10.51,204400,12/24/20
PVBC,"Provident Bancorp CS",12.09,-0.04,-0.33%,11.98,12.19,11.9,11200,12/24/20
PWFL,"Powerfleet Inc",7.47,-0.02,-0.27%,7.51,7.63,7.44,23500,12/24/20
PWOD,"Penns Woods Bancorp",26,0.22,+0.85%,25.93,26.15,25.9,1700,12/24/20
PXLW,"Pixelworks Inc",2.79,-0.11,-3.79%,2.91,2.93,2.76,250700,12/24/20
PZN,"Pzena Investment Management Inc",7.35,0,0.00%,7.45,7.45,7.28,56300,12/24/20
