Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
HQY,Healthequity,68.33,-0.47,-0.68%,69.13,69.4,67.82,212600,12/24/20
HRMY,Harmony Biosciences Holdings Inc,36.48,-0.87,-2.33%,37.3,38.54,35.82,39900,12/24/20
HRTX,Heron Therapeutics,20.72,0.17,0.83%,20.73,20.93,20.46,433000,12/24/20
HSIC,Henry Schein Inc,65.83,-0.61,-0.92%,66.31,66.4,65.25,155800,12/24/20
HSKA,Heska Corp,147.75,-2.83,-1.88%,149.07,150.57,147.01,42700,12/24/20
HST,Host Marriott Financial Trust,14.2,0.16,1.14%,14.05,14.2,13.88,2138500,12/24/20
HTHT,Huazhu Group Ltd,44.4,-0.19,-0.43%,44.42,44.83,43.97,1090800,12/24/20
HTLD,Heartland Express,18.21,-0.03,-0.16%,18.31,18.31,18.03,115100,12/24/20
HTLF,Heartland Finl USA,40.65,-0.16,-0.39%,41.1,41.44,40.12,65400,12/24/20
HUBG,Hub Group Inc A,56.62,-0.07,-0.12%,56.95,57.2,56.45,45400,12/24/20
HURN,Huron Consulting,57.37,0.19,0.33%,57.23,57.74,56.62,69900,12/24/20
HWC,Hancock Whitney Corp,34.22,0.26,0.77%,33.99,34.26,33.58,215000,12/24/20
HZNP,Horizon Therapeutics,68.92,1.25,1.85%,68.14,69.42,67.98,523100,12/24/20
IAC,Iac Holdings Inc,179.48,1.11,0.62%,179,182.77,178.45,206600,12/24/20
IART,Integra Lifesciences,66.39,0.86,1.31%,65.77,66.57,65.3,167200,12/24/20
IBKR,Interactive Brokers,61.08,0.22,0.36%,61.22,61.22,60.41,253500,12/24/20
IBOC,Intl Bancshares,37.76,-0.15,-0.40%,38.12,38.5,37.22,73100,12/24/20
IBTX,Independent Bank Group,62.5,-0.51,-0.81%,63.53,63.53,62.16,79700,12/24/20
ICFI,Icf International,74.63,0,0.00%,74.61,75.68,73.95,18200,12/24/20
ICLR,Icon Plc,192.51,-0.6,-0.31%,194.4,194.4,191.32,39400,12/24/20
ICPT,Intercept Pharmaceuticals,26.79,-0.63,-2.30%,27.37,27.55,26.75,507600,12/24/20
ICUI,I C U Medical Inc,211.72,0.55,0.26%,211.17,213.27,209.84,36500,12/24/20
IDCC,Interdigital Inc,61.2,-0.57,-0.92%,61.83,61.83,61.01,78400,12/24/20
IDXX,Idexx Laboratories,497.14,3.46,0.70%,495.82,499.12,493.16,69500,12/24/20
IEP,Icahn Enterprises,50.99,0.06,0.12%,51.12,51.12,50.68,68900,12/24/20
IGMS,Igm Biosciences Inc,89.51,3.79,4.42%,86.2,90.91,86.2,128300,12/24/20
IIVI,I I V I Inc,77.83,0.93,1.21%,78,79.38,77.02,529900,12/24/20
ILMN,Illumina Inc,367.29,0.77,0.21%,363.45,369.06,362.01,269200,12/24/20
ILPT,Industrial Logistics Properties Trust,22.91,0.2,0.88%,22.79,22.95,22.56,146700,12/24/20
IMVT,Immunovant Inc,49.78,0.77,1.57%,49.09,50.72,48.79,85000,12/24/20
INBK,First Internet Bcp,28.92,-0.41,-1.40%,29.32,29.4,28.38,8500,12/24/20
INCY,Incyte Corp,87.37,-0.56,-0.64%,87.95,88.37,87.04,182100,12/24/20
INDB,Independent Bk Corp,73.97,-0.23,-0.31%,74.27,74.27,66.84,59700,12/24/20
INFN,Infinera Corp,10.97,-0.06,-0.54%,11.05,11.09,10.87,1137900,12/24/20
INMD,Inmode Ltd,47.49,0.1,0.21%,47.86,47.86,47.06,178700,12/24/20
INO,Inovio Pharma,10.26,0.19,1.89%,10.95,11.03,10.11,17748699,12/24/20
INOV,Inovalon Hlds Cm A,18.5,0.01,0.05%,18.44,18.6,18.29,103300,12/24/20
INSM,Insmed Inc,35.41,-0.04,-0.11%,36.4,36.4,34.62,357700,12/24/20
INTC,Intel Corp,47.07,0.5,1.07%,46.6,47.09,46.34,11865600,12/24/20
INTU,Intuit Inc,381.16,4.24,1.12%,377.51,381.79,377.43,441900,12/24/20
INVA,Innoviva Inc,12.34,0.4,3.35%,11.95,12.46,11.95,197300,12/24/20
IONS,Ionis Pharmaceuticals,59.68,-0.59,-0.98%,60.18,60.85,59.47,1105100,12/24/20
IOSP,Innospec Inc,89.54,0.84,0.95%,89.32,89.89,88.25,29400,12/24/20
IOVA,Iovance Biotherapeutics Inc,49.55,-0.16,-0.32%,49.57,50.45,48.72,388900,12/24/20
IPAR,Inter Parfums Inc,59.39,-0.09,-0.15%,60.04,60.11,58.82,44200,12/24/20
IPGP,Ipg Photonics Corp,220.97,0.81,0.37%,221.42,222.44,219.19,40100,12/24/20
IPHI,Inphi Corp,160.5,1.76,1.11%,159.19,160.51,158.13,218700,12/24/20
IQ,Iqiyi Inc ADR,17.44,0.33,1.93%,16.84,17.5,16.56,9152400,12/24/20
IRBT,Irobot Corp,85.85,-0.76,-0.88%,86.74,88.2,85.62,241500,12/24/20
IRDM,Iridium Comm Inc,39.05,-0.35,-0.89%,39.8,39.95,38.65,202800,12/24/20
IRTC,Irhythm Technologies Inc,242.12,-0.68,-0.28%,241.18,245.92,240.5,172700,12/24/20
IRWD,Ironwood Pharmaceuti,11.72,-0.09,-0.76%,11.8,11.9,11.68,302800,12/24/20
ISBC,Investors Bancorp,10.23,0.01,0.10%,10.28,10.33,10.1,494300,12/24/20
ISRG,Intuitive Surg Inc,807,-2.65,-0.33%,810.71,812.34,803.01,163200,12/24/20
ISTR,Investar Holding,16.62,-0.21,-1.25%,16.65,17,16.62,2200,12/24/20
ITCI,Intra-Cellular Ther,31.33,0.62,2.02%,30.97,31.56,30.65,284100,12/24/20
ITOS,Iteos Therapeutics Inc,33.34,-0.16,-0.48%,33.41,33.73,33.34,58700,12/24/20
ITRI,Itron Inc,93.91,0.39,0.42%,95.09,96,92.64,94800,12/24/20
ITRN,Ituran Location,19.03,-0.18,-0.94%,19.22,19.35,18.89,17000,12/24/20
JACK,Jack IN The Box Inc,95.18,1.49,1.59%,94.27,95.62,93,265700,12/24/20
JAZZ,Jazz Pharma Plc,157.28,1.26,0.81%,156.66,158.1,154.88,197300,12/24/20
JBHT,J B Hunt Transport,137.42,-1.02,-0.74%,138.11,138.65,136.72,245200,12/24/20
JBLU,Jetblue Airways Cp,14.43,-0.04,-0.28%,14.6,14.6,14.24,4380000,12/24/20
JCOM,J2 Global Inc,97.63,-0.02,-0.02%,98.15,98.16,96.9,706600,12/24/20
